date,prediction,entry_margin,action,position_shares,sell_eligible,holding_sessions,transaction_cost_value,transaction_cost,equity_curve,gross_equity_curve,net_strategy_return,realized_trade_return
2026-04-03,0.001739349914714694,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-06,0.001739349914714694,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-07,0.001739349914714694,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-08,0.001739349914714694,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-09,0.0022076284512877464,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-10,0.0022076284512877464,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-13,0.0022076284512877464,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-14,0.0030528802890330553,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-15,0.0019929115660488605,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-16,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-17,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-20,0.0018608297687023878,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-21,0.0018608297687023878,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-22,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-23,0.001065059332177043,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-24,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-28,0.001065059332177043,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-04-29,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-04,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-05,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-06,0.0022484047804027796,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-07,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-08,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-11,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-12,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-13,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-14,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-15,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-18,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-19,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-20,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-21,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-22,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-25,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-26,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-27,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-28,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-05-29,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-01,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-02,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-03,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-04,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-05,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-08,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-09,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-10,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-11,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-12,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-15,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-16,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-17,0.001739349914714694,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-18,0.001739349914714694,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-19,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-22,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-23,0.0022484047804027796,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-24,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-25,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-26,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-29,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-06-30,0.001739349914714694,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-01,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-02,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-03,0.0014031530590727925,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-06,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-07,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-08,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-09,0.0015246329130604863,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-10,0.002826628042384982,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-13,0.002826628042384982,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-14,0.002826628042384982,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-15,0.002826628042384982,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-16,0.002826628042384982,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-17,0.002826628042384982,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-20,0.002826628042384982,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-21,0.002826628042384982,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-22,0.0027051481883972883,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-23,0.0027051481883972883,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-24,0.0027051481883972883,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-27,0.002826628042384982,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-28,0.0027051481883972883,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-29,0.002826628042384982,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-30,0.001065059332177043,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-07-31,0.0009435794781893492,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-08-03,0.0020783748477697372,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-08-04,0.0020783748477697372,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-08-05,0.0020783748477697372,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-08-06,0.0009435794781893492,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
2026-08-07,0.0009435794781893492,0.0025,HOLD,0,False,0,0.0,0.0,1.0,1.0,0.0,
